index,num,name,blog or review,blog name,like_count_list,command_count_list,img_count,neighber_count,blog review
15,16,배곧 또잇카페 배곧점,블로그 리뷰,배곧 카페 추천 또잇카페 배곧점 ,75,92,29,2413,"['임시', '땜', '넘나', '염', '뭐', '단축', '해서', '했지만', '넘나', '월욜', '염']"
16,17,배곧 또잇카페 배곧점,블로그 리뷰,"[배곧카페] 시흥 신상 한울공원뷰 카페, 또잇카페(TTOEATCAFE)",45,40,42,973,[]
17,18,배곧 또잇카페 배곧점,블로그 리뷰,배곧 한울공원 뷰 카페 '또잇카페배곧점',197,60,37,3565,[]
18,19,배곧 또잇카페 배곧점,블로그 리뷰,배곧 한울공원 카페-또잇카페 배곧점 ,18,6,14,1843,[]
19,20,배곧 또잇카페 배곧점,블로그 리뷰,"배곧카페 또잇카페 배곧점, 한울공원 오션뷰 배곧디저트",12,2,46,1883,"['안녕하세요', '블로거']"
20,21,배곧 또잇카페 배곧점,블로그 리뷰,배곧 분위기 미쳐버린 신상카페 발견!:[또잇카페]::사막같은 인테리어 짱😆,3,1,29,81,['상호']
21,22,배곧 또잇카페 배곧점,블로그 리뷰,"다양한 디저트 맛집, 공원&스카이뷰 맛집 배곧카페 [또잇카페 배곧점]",5,3,39,448,['지니']
22,23,배곧 또잇카페 배곧점,블로그 리뷰,배곧신도시 카페 [ 또잇카페 배곧점 ],58,28,13,888,[]
23,24,배곧 또잇카페 배곧점,블로그 리뷰,{시흥 배곧 또잇카페(TTOEAT CAFE) / 시흥 배곧 카페추천 노을명소 한울공원 카페 추천},0,3,21,170,['안녕하세']
25,26,배곧 또잇카페 배곧점,블로그 리뷰,"또잇카페! 배곧 또잇카페! 고급스러운 인테리어와 탁 트인 통창유리에 반한 감성카페! (feat. 배곧 브런치 카페, 배곧 빵집, 배곧 베이커리 카페, 배곧 빵카페, 시흥 빵카페)",6,2,50,308,"['안녕하십니까', '언제나', '혁', '입니다', '바쁘신', '간', '짬내서']"
26,27,배곧 또잇카페 배곧점,블로그 리뷰,시흥/배곧 신상카페 | TTOEAT CAFE(또잇카페),19,12,18,556,"['안녕하세요', '금요일', '퇴근', '다가']"
27,28,배곧 또잇카페 배곧점,블로그 리뷰,[T] 또잇카페 배곧점 / 시흥 신상 카페추천 / 식물 감성 끝판왕 배곧한울공원 근처 카페 / 분위기 미친 카페..! ,11,3,21,159,['조이']
28,29,배곧 또잇카페 배곧점,블로그 리뷰,배곧 한울공원 카페 또잇카페 내돈내산 솔직 후기 + 주차,13,10,24,980,"['안녕하세요', '여러분']"
29,30,배곧 또잇카페 배곧점,블로그 리뷰,배곧 한울공원 근처 신상 카페 추천 뷰맛집 _ 또잇카페,15,2,33,793,"['안녕하세요', '퇴근']"
30,31,배곧 또잇카페 배곧점,블로그 리뷰,"♡배곧 한울공원 근처 디저트 감성 카페, 또잇카페 (TTOEAT CAFE)",43,18,25,3008,"['안녕하세요', '혜원']"
31,32,배곧 또잇카페 배곧점,블로그 리뷰,배곧 신상 카페 또잇카페,35,37,21,2017,['가까운']
32,33,배곧 또잇카페 배곧점,블로그 리뷰,[시흥 배곧카페] 한울공원 바로 앞 배곧뷰카페 또잇카페 배곧점 ,7,1,26,3166,[]
33,34,배곧 또잇카페 배곧점,블로그 리뷰,뷰카페추천 / 또잇카페배곧,10,1,59,69,[]
34,35,배곧 또잇카페 배곧점,블로그 리뷰,배곧카페 TTOEATCAFE 또잇카페에서 아이와 데이트,14,5,54,1343,[]
35,36,배곧 또잇카페 배곧점,블로그 리뷰,"시흥 배곧 신도시, 신상 디저트 카페 #또잇카페 배곧점(TTOEAT CAFE)",5,1,38,67,[]
36,37,배곧 또잇카페 배곧점,블로그 리뷰,시흥 정왕동 카페 ☕️또잇카페☕️,2,0,9,43,"['영업', '월금', '22:00', '10:00', '10:00', '우연히', '할', '앞', '짜고']"
37,38,배곧 또잇카페 배곧점,블로그 리뷰,배곧 신상카페 : 일몰 예쁜 선인장카페 ttoeat cafe (또잇),19,17,20,234,[]
38,39,배곧 또잇카페 배곧점,블로그 리뷰,[공지] 배곧 한울공원 카페 : 또잇카페,3,0,10,34,['친구']
39,40,배곧 또잇카페 배곧점,블로그 리뷰,배곧 한울공원 디저트카페 또잇카페 ttoeat cafe ,10,7,15,204,[]
40,41,배곧 또잇카페 배곧점,블로그 리뷰,[배곧카페] 또잇카페 / 오션뷰를 볼 수 있는 배곧 신상 카페,3,0,11,57,[]
41,42,배곧 또잇카페 배곧점,블로그 리뷰,배곧 한울공원 근처 노을 맛집 [또잇카페 | TTOEATCAFE ],75,41,39,1812,['안녕하세요']
42,43,배곧 또잇카페 배곧점,블로그 리뷰,배곧 한울공원 뷰 맛집인 큰 카페 ‘또잇카페’,10,4,20,405,['본']
43,44,배곧 또잇카페 배곧점,블로그 리뷰,"[시흥배곧디저트카페/또잇카페]이쁜 노을이 보이는, 포토존 가득한, 신상카페",28,18,76,563,['안녕하세요']
44,45,배곧 또잇카페 배곧점,블로그 리뷰,모든 것이 완벽했던 또잇카페배곧점,5,0,61,251,"['몇', '전', '보고']"
45,1,배곧 카츠오모이,블로그 리뷰,"시흥/배곧 맛집, 카츠오모이 본점 진짜 맛있다!",23,7,19,5050,"['카츠', '모이']"
46,2,배곧 카츠오모이,블로그 리뷰,"인생돈까스 등극, 배곧 맛집 인정 '카츠오모이'",5,5,14,236,"['카츠', '모이', '30분', '근처', '가능했던', '팅', '10시', '미리', '시간']"
47,3,배곧 카츠오모이,블로그 리뷰,"[배곧/경기도]카츠오모이 안심, 등심 냠냠",12,9,12,252,"['안녕하세요', '흐', '크까지', '했지만', '등심', '2', '세트', '되었어요', '거의', '타임', '때', '되는', '많다고', '요', '등심', '안심', '카레', '했고', '시간', '정도', '하여']"
48,4,배곧 카츠오모이,블로그 리뷰,"카츠오모이 배곧본점 :: 웨이팅 필수, 인생 돈가스 맛집",28,10,22,2013,[]
49,5,배곧 카츠오모이,블로그 리뷰,"카츠오모이 본점, 시흥 배곧",13,2,20,699,[]
50,6,배곧 카츠오모이,블로그 리뷰,시흥 배곧신도시 돈까스 맛집 카츠오모이,64,32,14,1698,"['안녕하세요', '낚시', '박', '입니다시']"
51,7,배곧 카츠오모이,블로그 리뷰,"배곧 카츠오모이, 줄서서 먹는 돈까스 맛집!",16,15,23,2724,"['줄', '먹는']"
52,8,배곧 카츠오모이,블로그 리뷰,시흥 배곧 카츠오모이,12,5,12,618,"['카츠', '모이', '15:00', '소진', '조기', '마', '인스타그램', '월요일', '주차', '전', '오', '갔다가', '후기', '적', '오빠', '번', '가보자', '갔는데', '인데', '있더라고요', '하실', '인스타', '나', '보시', '좋을', '같아', '문자', '들어갔어요', '홍빛', '없', '처음', '맛있지만', '보면', '조금']"
53,9,배곧 카츠오모이,블로그 리뷰,[배곧 맛집] 웨이팅해도 후회 안 할 인생돈까스 맛집 카츠오모이,24,4,17,2806,"['카츠', '모']"
54,10,배곧 카츠오모이,블로그 리뷰,[Mystery Life-ing] 시흥/배곧 :: 카츠오모이 :: 등심과 안심 돈까스 & 카레밥,10,2,25,297,['최근']
55,11,배곧 카츠오모이,블로그 리뷰,배곧 맛집 - 카츠오모이 (돈까스 맛집),8,1,6,253,"['주소', '경기', '278', '21', '01027014425', '시간', '재료', '마감']"
56,12,배곧 카츠오모이,블로그 리뷰,인생 돈까스 맛집을 만나다 - '배곧 카츠오모이',0,0,15,44,"['가봐야지가', '이제야', '기다리', '한다고', '오예']"
57,13,배곧 카츠오모이,블로그 리뷰,배곧 신도시 돈가스 맛집 가츠오모이,5,3,10,66,[]
58,14,배곧 카츠오모이,블로그 리뷰,배곧 맛집 카츠오모이 돈까스 먹으러 웨이팅해봄,9,6,19,290,[]
59,15,배곧 카츠오모이,블로그 리뷰,돈카츠 맛집 입안에 촉촉한 육즈비 가 내립니다.기가막혀요,8,4,24,426,"['소진', '너', '항상', '아파', '재료']"
60,16,배곧 카츠오모이,블로그 리뷰,배곧맛집 줄서서 먹는 돈가스 맛집 카츠오모이,3,4,6,311,[]
61,17,배곧 카츠오모이,블로그 리뷰,배곧 맛집 카츠오모이 / 두툼한 수제 일식 돈까스,14,9,14,972,[]
62,18,배곧 카츠오모이,블로그 리뷰,배곧 돈가스 맛있는 집- 카츠오모이,6,2,12,202,[]
63,19,배곧 카츠오모이,블로그 리뷰,배곧 카츠오모이 본점 : 드디어 먹고 왔다 + 평일 웨이팅 꿀팁 !,5,0,16,351,"['3일', '여름', '회사', '연중', '풀', '쉬', '출산휴가', '붙여', '조금', '출산휴가', '들어갈', '있기', '요', '엔', '휴가', '3일', '로', '코로나', '아무', '못', '그래도', '때', '팅', '공략', '싶어서']"
64,20,배곧 카츠오모이,블로그 리뷰,카츠오모이 :: 배곧 돈까스 맛집찾는다면 이곳 후회안할듯,11,7,22,2564,"['내', '주고']"
65,21,배곧 카츠오모이,블로그 리뷰,카츠오모이 시흥시 맛집 배곧맛집 돈까스 맛집임 진짜  등심+안심 13000원 드세요  ,0,0,16,23,"['자꾸', '얼굴', '양해', '아래', '찍', '등신', '경기도', '체험', '3만원', '서', '갑니다', '사랑', '.', '많다고', '써', '걱정', '안', '다행', '다']"
66,22,배곧 카츠오모이,블로그 리뷰,배곧 :: 카츠오모이 - 돈까스,3,7,6,322,"['개미', '자마자', '들어갔지', '미디엄', '미디엄', '음음', '지방', '있어서', '삼겹살']"
67,23,배곧 카츠오모이,블로그 리뷰,시흥시 배곧 - 카츠오모이,4,2,6,199,"['짝꿍', '엄청난']"
68,24,배곧 카츠오모이,블로그 리뷰,배곧맛집 '카츠오모이' 안심돈가스 후기&이용 꿀팁,27,13,15,1278,"['방학', '전']"
69,25,배곧 카츠오모이,블로그 리뷰,[시흥맛집] 시흥 배곧 일식 돈까스 맛집 카츠오모이,1,0,3,0,['돈까스']
70,26,배곧 카츠오모이,블로그 리뷰,돈까스러버가 배곧 카츠오모이 주말 웨이팅 1시간 기다려서 먹은 후기 ,3,5,13,132,[]
71,27,배곧 카츠오모이,블로그 리뷰,시흥시 배곧 돈까스맛집 카츠오모이 후기,12,4,10,257,"['안녕하세요', '미식']"
72,28,배곧 카츠오모이,블로그 리뷰,안산맛집 데이트코스 강추 수제돈카츠 돈카츠맛집 카츠오모이,78,44,7,1116,[]
73,29,배곧 카츠오모이,블로그 리뷰,"[배곧 맛집] 두번째 도전만에 성공한 인생돈까스집 ""카츠오모이""",40,28,16,1178,"['여러분', '첫', '갔다가']"
74,30,배곧 카츠오모이,블로그 리뷰,배곧pt 이것 안 하면 몸 안 좋아집니다 (정왕동헬스),18,6,14,55,['안녕하세요']
75,31,배곧 카츠오모이,블로그 리뷰,배곧 카츠오모이 본점,3,1,7,148,[]
76,32,배곧 카츠오모이,블로그 리뷰,배곧 돈까스 [카츠오모이] 본점 방문,6,0,11,191,['안녕하세요']
77,33,배곧 카츠오모이,블로그 리뷰,[시흥시]배곧 돈까스맛집/웨이팅맛집/데이트 맛집/카츠오모이❤️,7,8,15,326,"['안녕하세요', '휴가', '철', '그래도']"
78,34,배곧 카츠오모이,블로그 리뷰,파라다이스시티 호텔 1박2일 후기💙,6,0,32,181,"['얼마나', '오후', '되', '대기', '후', '했는데', '먹고', '2', '세트', '품절', '하', '반', '했는데도', '결국', '카츠', '로', '했댜', '돈카츠', '본연']"
79,35,배곧 카츠오모이,블로그 리뷰,오랜만에 재방문한 배곧 맛집 <카츠오모이>,1,2,15,131,"['안녕하세요', '청춘', '논', '출산', '라고']"
80,36,배곧 카츠오모이,블로그 리뷰,배곧 맛집 카츠오모이 소개하고싶은곳,14,1,8,2541,[]
81,37,배곧 카츠오모이,블로그 리뷰,배곧 카츠오모이 : 주차/웨이팅 성공 후기,28,12,33,3668,[]
82,38,배곧 카츠오모이,블로그 리뷰,입속에서 녹아내렸던 배곧 돈까스 맛집 카츠오모이 + 포장 후기,8,10,24,149,['입']
83,39,배곧 카츠오모이,블로그 리뷰,"시흥 배곧 돈까스맛집, 줄서서 먹는 맛집 카츠오모이",54,61,43,1036,"['쨘배곧', '서서', '돈까스', '카츠', '모이', '할게', '지나갈', '마다', '소진', '마감', '.', '만', '먹어', '못', '.', '맛있길래', '재료', '되는지', '마음먹고', '.', '롬', '위치', '카츠', '모이', '판', '바', '.', '시간', '휴무', '15:00', '소진', '조기', '마', '인스타그램', '주문', '오스', '주문', ':', '나', '11', '도착', '.', '하고', '하는', '약', '정도', '됬습니다', '마트', '장보고', '욤', '해주는', '로', '먹어요', '음식', '전', '모이', '사항', '돈', '맛있게', '방법', '보았습니다']"
84,40,배곧 카츠오모이,블로그 리뷰,시흥 배곧 줄 서서 먹는 돈가스 맛집 카츠오모이,4,2,22,294,"['안녕하세요', '쟈니']"
85,41,배곧 카츠오모이,블로그 리뷰,카츠오모이 배곧 본점,5,0,17,240,"['키', '크', '후', '팅', '1시간', '시간', '울', '마스크', '하자', '뜯어서', '아직', '갤이라', '안', '되지만', '상', '싶다기', '귀', '다임', '시간', '빠', '동안', '인', '다행히', '등심', '.', '오픈', '자마자', '되는', '있었네요', '제', '안심', '.', '실']"
86,42,배곧 카츠오모이,블로그 리뷰,"시흥 배곧/정왕동 [카츠오모이] カツおもい - 등심, 안심, 카레라이스",10,7,11,349,[]
87,43,배곧 카츠오모이,블로그 리뷰,요즘뜨는 오이도역 맛집,3,1,16,57,[]
88,44,배곧 카츠오모이,블로그 리뷰,배곧맛집]점심시간 끝나면 못먹는 카츠오모이 드디어 먹어봤다.,8,2,4,1229,"['카츠', '모이', '유명한지']"
89,45,배곧 카츠오모이,블로그 리뷰,실망의 배곧 카츠오모이? 성공의 배곧 면부심파스타?,2,0,14,6,"['목요일', '비', '보슬보슬', '우']"
90,46,배곧 카츠오모이,블로그 리뷰,[배곧 돈까스] 카츠오모이 웨이팅 없이 먹은 날 ,13,0,18,1053,"['카츠', '모']"
91,47,배곧 카츠오모이,블로그 리뷰,Page 10. 맛있는 거 좋아 좋아,8,2,12,89,"['지금', '살']"
92,48,배곧 카츠오모이,블로그 리뷰,[시흥/배곧신도시] 인생돈까스 카츠오모이,5,1,8,40,"['지난', '돈까스', '싶어서', '했던', '모이', '인해', '했었다']"
93,49,배곧 카츠오모이,블로그 리뷰,[배곧맛집] 부지런해야 먹을 수 있는 카츠오모이,2,4,6,59,"['안녕하세요', '희', '임', '앞', '돈까스']"
94,50,배곧 카츠오모이,블로그 리뷰,배곧 카츠오모이 아쉬움 한 스푼 더하기,4,2,4,434,"['2021년', '27일', '님', '내', '전', '일찍', '찾아가', '먹었던', '내어']"
95,51,배곧 카츠오모이,블로그 리뷰,"줄 서서 먹는 인생 돈까스, 배곧 카츠오모이! 드디어 방문ㅠㅠ",3,0,27,131,"['안녕하세요', '청춘', '논', '주', '남편']"
96,52,배곧 카츠오모이,블로그 리뷰,"♡배곧 중심상가 웨이팅 돈카츠 맛집, 카츠오모이",36,14,15,3008,"['안녕하세요', '혜원']"
97,53,배곧 카츠오모이,블로그 리뷰,[시흥/배곧] 카츠오모이 본점 인생맛집,10,19,16,120,[]
98,54,배곧 카츠오모이,블로그 리뷰,시흥 돈까스맛집 카츠오모이본점,3,0,12,1569,[]
99,55,배곧 카츠오모이,블로그 리뷰,"[배곧 돈카츠 맛집] 돈까스를 새로운 방법으로 먹어볼 수 있는 곳, 카츠오모이",10,9,11,164,"['꾸꾸', '꾸꾸', '땐']"
100,56,배곧 카츠오모이,블로그 리뷰,[시흥/배곧/정왕 돈가스 맛집] 가츠오모이,6,6,11,884,[]
101,57,배곧 카츠오모이,블로그 리뷰,배곧 맛집 :: 카츠오모이 배곧본점,3,0,14,59,[]
102,58,배곧 카츠오모이,블로그 리뷰,시흥 배곧 돈카츠 맛집 '카츠오모이',5,2,12,105,"['안녕하세요', '오랜']"
103,59,배곧 카츠오모이,블로그 리뷰,배곧 카츠오모이,1,1,6,26,"['아침', '지나갈', '소진', '있길래', '오픈', '해야']"
104,60,배곧 카츠오모이,블로그 리뷰,시흥배곧 카츠오모이 존맛탱 돈까스 맛집,2,2,9,182,[]
105,61,배곧 카츠오모이,블로그 리뷰,2020년 지나간게 실감나나요?,3,1,40,177,['2020년']
106,62,배곧 카츠오모이,블로그 리뷰,배곧 맛집 카츠오모이 1시간 웨이팅 존맛탱이라 또 간다,33,2,19,3854,"['기다리고', '기다리던', '오', '드디어', '먹어', '.', '소리']"
107,63,배곧 카츠오모이,블로그 리뷰,[맛집] 배곧신도시 맛집 :: 카츠오모이,5,2,8,126,[]
108,64,배곧 카츠오모이,블로그 리뷰,[일상] 내 2020년 돌려도~~ | 청양 낭띠전원카페,5,1,41,156,['드디어']
109,65,배곧 카츠오모이,블로그 리뷰,세상에서 제일 맛있는 돈까스를 먹었다,1,2,16,148,"['드디어', '카츠', '모이', '왔']"
110,66,배곧 카츠오모이,블로그 리뷰,"야들야들  ""돈카츠"" 안산시흥맛집 ""카츠오모이""",3,2,10,260,['예전']
111,67,배곧 카츠오모이,블로그 리뷰,"[배곧돈카츠] 등심,안심돈카츠 맛집 배곧 카츠오모이",15,2,9,686,"['카츠', '모이', '시흥시', '대학로', '번', '21', '호', '시간', '재료', '시', '마감', '공지', '휴무', '하기']"
112,68,배곧 카츠오모이,블로그 리뷰,배곧 - 다시찾은 돈가스 지존 카츠오모이 ,12,11,7,227,"['안녕하세요', '주니', '.', '계속', '주말']"
113,69,배곧 카츠오모이,블로그 리뷰,배곧 카츠오모이 / 돈까스 맛집 2시간 웨이팅 후 먹어본 솔직후기,6,1,20,341,"['안녕하', '둥이', '.', '오픈', '지', '지나면', '소진', '하는']"
114,70,배곧 카츠오모이,블로그 리뷰,{시흥시 배곧 카츠오모이 / 시흥 배곧 돈까스 맛집 돈카츠 맛집},5,3,9,170,['안녕하세요']
115,71,배곧 카츠오모이,블로그 리뷰,"시흥 배곧 돈카츠 맛집 ""카츠오모이"" ★★★",1,0,8,96,['슐랭']
116,72,배곧 카츠오모이,블로그 리뷰,[배곧] 카츠오모이 돈까스 맛집 방문 후기 ,2,0,24,8,"['안녕하세요', '작년', '때', '신랑', '먹고']"
117,73,배곧 카츠오모이,블로그 리뷰,배곧 맛집 카츠오모이 솔직 후기,20,5,20,4317,"['안녕하세요', '헬로', '입니다']"
118,74,배곧 카츠오모이,블로그 리뷰,"시흥 배곧 :: 돈까스가 맛있는 ""카츠오모이"" [내돈내먹]",134,109,19,1615,"['안녕하세요', '해랑', '.', '며칠', '부터', '싶었던', '드디어', '.']"
119,75,배곧 카츠오모이,블로그 리뷰,배곧신도시 맛집 카츠오모이 본점에 다녀왔습니다.,1,0,13,65,"['카츠', '모이는', '돈까스']"
120,76,배곧 카츠오모이,블로그 리뷰,돈까스 맛집 [카츠오모이],1,1,7,34,[]
121,77,배곧 카츠오모이,블로그 리뷰,"[배곧맛집] 웨이팅 해서먹는 배곧 카츠오모이 본점 : 2인세트 ,특등심 ",6,3,15,93,"['작년', '계속', '와서', '해야지', '이제야', '하는', '사랑', '오', '내']"
122,78,배곧 카츠오모이,블로그 리뷰,추억의 따브류와 돈까스 투어,13,9,31,226,"['육지', '투어', '김', '브류', '인연', '제주', '얻어']"
123,79,배곧 카츠오모이,블로그 리뷰,배곧맛집 드디어 먹었습니다 카츠오모이!(+꿀팁),4,0,14,33,"['안녕하세요', '지']"
124,80,배곧 카츠오모이,블로그 리뷰,"[배곧] 품절되서 못먹는, 믿고 먹는 돈가스 맛집 카츠오모이 :)",3,0,60,251,[]
125,81,배곧 카츠오모이,블로그 리뷰,배곧 인생 돈가스 맛집 ☆카츠오모이☆,4,2,15,227,"['안녕하세요', '주니', '.', '3일', '연휴', '보내셨나요', '이번', '4일', '만', '3일', '연휴', '월요일', '힘', '봐야겠습니다', '오늘', '동네', '한']"
126,82,배곧 카츠오모이,블로그 리뷰,시흥 돈카츠맛집 [배곧신도시 카츠오모이 본점],8,10,10,31,[]
127,83,배곧 카츠오모이,블로그 리뷰,배곧 맛집 카츠 오모이!!,0,4,4,1,"['일', '친', '누나', '추천']"
128,84,배곧 카츠오모이,블로그 리뷰,[배곧 맛집] 줄 서서 먹는 인생 돈가스 맛집 카츠오모이 & 배곧 분위기 좋은 카페 윌로우 우드,4,0,10,17,[]
130,2,배곧 양푼애등갈비,블로그 리뷰,시흥에도 떴다! 안산 양푼에 등갈비 배곧점,68,83,26,3065,['안녕하세요']
132,4,배곧 양푼애등갈비,블로그 리뷰,시흥 배곧 맛집 언제 먹어도 맛있잖아! ,10,2,26,1527,"['아침', '일어난', '말', '말', '다니는', '이었어요']"
133,5,배곧 양푼애등갈비,블로그 리뷰,요즘 인기 있는 시흥 배곧 맛집,12,2,29,1753,['상호']
134,6,배곧 양푼애등갈비,블로그 리뷰,든든했던 배곧 고기집,2,4,27,159,['지난']
135,7,배곧 양푼애등갈비,블로그 리뷰,[배곧] 매운등갈비 맛집 양푼애등갈비 :: 맵찔이도 가능한 덜매운맛,10,6,15,386,[]
136,8,배곧 양푼애등갈비,블로그 리뷰,"배곧 매운 등갈비, 갈비찜 맛집 '양푼애등갈비'",6,0,6,1147,['안녕하세요']
137,9,배곧 양푼애등갈비,블로그 리뷰,[시흥/배곧 맛집] 양푼애등갈비 : 매운등갈비/갈비찜/가격/위치,2,4,28,34,[]
138,10,배곧 양푼애등갈비,블로그 리뷰,[맛알못의 고양과목] 시흥에서 매운등갈비는? : 양푼애등갈비 ,4,0,11,6,[]
139,11,배곧 양푼애등갈비,블로그 리뷰,[시흥맛집] 시흥 정왕동 맛집/배곧신도시 맛집 양푼애등갈비,18,10,14,7232,"['안녕하세요', '최근', '운동', '운동', '후', '먹기', '근처', '찾았습니다']"
140,12,배곧 양푼애등갈비,블로그 리뷰,양푼애등갈비 배곧 인생맛집 찾았다,5,4,7,221,['되니까']
141,13,배곧 양푼애등갈비,블로그 리뷰,배곧 고깃집 아주 유명한 등갈비집,10,2,25,2915,"['안녕하세요', '오랜']"
142,14,배곧 양푼애등갈비,블로그 리뷰,맛집 :: 양푼애등갈비 / 안산 맛집이 배곧에도!,8,3,10,152,"['깔', '조용']"
143,15,배곧 양푼애등갈비,블로그 리뷰,매콤달달했던 배곧 고깃집 ,2,1,28,103,"['지난', '정기', '만나는']"
144,16,배곧 양푼애등갈비,블로그 리뷰,배곧 데이트코스 맛있어요~,6,4,26,256,['오랜']
145,17,배곧 양푼애등갈비,블로그 리뷰,[배곧 등갈비 맛집 추천]양푼애 등갈비 메밀전 곤드레밥 강추!,12,11,29,1625,"['루낭입니', '.', '건물', '층', '.', '애', '애가', '줍니다', '돈', '인정']"
146,18,배곧 양푼애등갈비,블로그 리뷰,"배곧 등갈비, 양푼애등갈비 대만족",11,12,23,101,"['안녕하세요', '오랜']"
147,19,배곧 양푼애등갈비,블로그 리뷰,시흥 정왕동 배곧 맛집! 양푼애등갈비 후기!,42,47,9,799,"['안녕하세요', '주말']"
148,20,배곧 양푼애등갈비,블로그 리뷰,"시흥 배곧 _ 양푼애등갈비 (양푼등갈비, 곤드레나물밥)",5,2,18,101,"['안녕하십니까', '쵸']"
149,21,배곧 양푼애등갈비,블로그 리뷰,"♡배곧 중심상가 매운 갈비찜 양푼등갈비 맛집, 양푼애등갈비",30,6,11,3008,"['안녕하세요', '혜원']"
150,22,배곧 양푼애등갈비,블로그 리뷰,시흥 배곧맛집 양푼애등갈비 솔직후기,1,1,14,795,['안녕하세요']
151,23,배곧 양푼애등갈비,블로그 리뷰,[배곧] 매콤한 인기 등갈비집 : 양푼애등갈비,5,2,16,63,['안녕하세']
152,24,배곧 양푼애등갈비,블로그 리뷰,배곧 회식장소 호불호없네,7,0,27,2073,[]
153,25,배곧 양푼애등갈비,블로그 리뷰,배곧 양푼애등갈비 - 내돈내먹 후기,2,1,10,84,[]
154,26,배곧 양푼애등갈비,블로그 리뷰,배곧 맛집 포장도 가능해요.,3,0,10,115,[]
155,27,배곧 양푼애등갈비,블로그 리뷰,손꼽아본 배곧 가볼만한곳 ,10,8,10,915,[]
156,28,배곧 양푼애등갈비,블로그 리뷰,[배곧 맛집] 매운 등갈비 맛집 #양푼애등갈비,12,18,12,428,"['안녕하세요', '특별한', '만들어']"
157,29,배곧 양푼애등갈비,블로그 리뷰,[배곧] 양푼애등갈비 방문 솔직후기,6,2,16,234,"['안녕하세요', '여러분']"
158,30,배곧 양푼애등갈비,블로그 리뷰,2021년 3월의 일상이야기,22,21,11,162,"['오랜', '블로그', '이야기']"
159,31,배곧 양푼애등갈비,블로그 리뷰,[배곧 맛집]돈스파이크도 반한 매콤한 등갈비 ‘양푼애등갈비’ 맛집 추천,3,2,26,1125,['안녕하세요']
160,32,배곧 양푼애등갈비,블로그 리뷰,시흥 정왕동 밥집 푸짐하니 변함없군,3,1,29,1043,"['안녕하세요', '잇님들', '스타', '뒤', '찌는데', '불구', '몸']"
161,33,배곧 양푼애등갈비,블로그 리뷰,정왕동 고기집 맛있게 먹었어요,7,1,32,304,"['얼마', '동생']"
162,34,배곧 양푼애등갈비,블로그 리뷰,"[시흥/배곧] 매운갈비찜 양푼애등갈비 후기! (+위치,메뉴) ",0,0,13,63,['일']
163,35,배곧 양푼애등갈비,블로그 리뷰,[배곧 맛집] 돈스파이크가 다녀 간 등갈비 맛집 양푼애등갈비 배곧 직영점 솔직 후기 ๑'ڡ'๑ ,44,26,27,518,"['안녕하세요', '쟈붕', '너', '.', '첫']"
